ticker,date,open,high,low,close
F,1972-06-01,0.0,2.17,2.15,2.15
F,1972-06-02,2.15,2.17,2.14,2.15
F,1972-06-05,2.15,2.17,2.14,2.15
F,1972-06-06,2.15,2.16,2.12,2.12
F,1972-06-07,2.12,2.14,2.11,2.11
F,1972-06-08,2.11,2.13,2.1,2.1
F,1972-06-09,2.1,2.1,2.04,2.08
F,1972-06-12,2.08,2.11,2.07,2.08
F,1972-06-13,2.08,2.1,2.08,2.1
F,1972-06-14,2.11,2.15,2.11,2.13
F,1972-06-15,2.13,2.15,2.12,2.12
F,1972-06-16,2.12,2.13,2.1,2.13
F,1972-06-19,2.13,2.15,2.11,2.12
F,1972-06-20,2.12,2.14,2.12,2.13
F,1972-06-21,2.13,2.13,2.11,2.11
F,1972-06-22,2.1,2.1,2.08,2.1
F,1972-06-23,2.09,2.09,2.07,2.09
F,1972-06-26,2.09,2.09,2.08,2.08
F,1972-06-27,2.08,2.1,2.08,2.1
F,1972-06-28,2.1,2.11,2.09,2.1
F,1972-06-29,2.1,2.1,2.09,2.09
F,1972-06-30,2.08,2.08,2.05,2.07
F,1972-07-03,2.07,2.07,2.05,2.06
F,1972-07-05,2.06,2.07,2.03,2.05
F,1972-07-06,2.06,2.1,2.06,2.08
F,1972-07-07,2.08,2.09,2.05,2.07
F,1972-07-10,2.07,2.07,2.04,2.04
F,1972-07-11,2.04,2.06,2.03,2.03
F,1972-07-12,2.03,2.06,2.02,2.02
F,1972-07-13,2.02,2.02,1.99,2.02
F,1972-07-14,2.02,2.03,2.01,2.01
F,1972-07-17,2.01,2.03,2.0,2.01
F,1972-07-18,2.01,2.04,1.98,2.03
F,1972-07-19,2.03,2.08,2.03,2.04
F,1972-07-20,2.04,2.05,2.02,2.02
F,1972-07-21,2.02,2.05,2.02,2.04
F,1972-07-24,2.06,2.11,2.06,2.1
F,1972-07-25,2.1,2.1,2.08,2.09
F,1972-07-26,2.09,2.09,2.08,2.08
F,1972-07-27,2.08,2.09,2.08,2.08
F,1972-07-28,2.08,2.11,2.08,2.1
F,1972-07-31,2.1,2.11,2.09,2.1
F,1972-08-01,2.1,2.1,2.08,2.1
F,1972-08-02,2.1,2.12,2.1,2.12
F,1972-08-03,2.14,2.18,2.14,2.16
F,1972-08-04,2.16,2.17,2.16,2.17
F,1972-08-07,2.17,2.18,2.17,2.17
F,1972-08-08,2.17,2.17,2.16,2.17
F,1972-08-09,2.17,2.17,2.12,2.13
F,1972-08-10,2.13,2.14,2.12,2.14
F,1972-08-11,2.14,2.16,2.14,2.15
F,1972-08-14,2.16,2.18,2.16,2.17
F,1972-08-15,2.17,2.17,2.13,2.15
F,1972-08-16,2.14,2.14,2.09,2.09
F,1972-08-17,2.09,2.13,2.09,2.13
F,1972-08-18,2.13,2.14,2.12,2.13
F,1972-08-21,2.13,2.14,2.11,2.14
F,1972-08-22,2.15,2.18,2.15,2.17
F,1972-08-23,2.17,2.26,2.17,2.25
F,1972-08-24,2.25,2.25,2.22,2.22
F,1972-08-25,2.22,2.23,2.19,2.19
F,1972-08-28,2.19,2.21,2.19,2.19
F,1972-08-29,2.19,2.19,2.13,2.16
F,1972-08-30,2.16,2.16,2.14,2.14
F,1972-08-31,2.14,2.19,2.14,2.19
F,1972-09-01,2.19,2.2,2.18,2.19
F,1972-09-05,2.19,2.19,2.16,2.16
F,1972-09-06,2.16,2.16,2.13,2.14
F,1972-09-07,2.15,2.17,2.15,2.15
F,1972-09-08,2.15,2.16,2.14,2.15
F,1972-09-11,2.15,2.15,2.14,2.14
F,1972-09-12,2.14,2.14,2.11,2.12
F,1972-09-13,2.12,2.13,2.1,2.13
F,1972-09-14,2.13,2.14,2.12,2.12
F,1972-09-15,2.12,2.14,2.12,2.13
F,1972-09-18,2.12,2.12,2.11,2.12
F,1972-09-19,2.12,2.13,2.11,2.12
F,1972-09-20,2.12,2.12,2.09,2.1
F,1972-09-21,2.09,2.09,2.05,2.05
F,1972-09-22,2.05,2.07,2.04,2.07
F,1972-09-25,2.07,2.08,2.06,2.07
F,1972-09-26,2.07,2.09,2.07,2.08
F,1972-09-27,2.08,2.12,2.08,2.12
F,1972-09-28,2.12,2.15,2.1,2.15
F,1972-09-29,2.16,2.17,2.16,2.16
F,1972-10-02,2.16,2.17,2.16,2.17
F,1972-10-03,2.17,2.17,2.13,2.13
F,1972-10-04,2.13,2.15,2.13,2.13
F,1972-10-05,2.13,2.13,2.11,2.12
F,1972-10-06,2.12,2.12,2.08,2.12
F,1972-10-09,2.12,2.13,2.11,2.12
F,1972-10-10,2.13,2.15,2.13,2.14
F,1972-10-11,2.14,2.14,2.12,2.14
F,1972-10-12,2.13,2.13,2.12,2.12
F,1972-10-13,2.12,2.12,2.08,2.09
F,1972-10-16,2.08,2.08,2.07,2.08
